Project,Disection Date,Name,Fish Species,Fish ID,Stomach ID ,Site,Collection Date,Prey Common Name,Prey Wet Weight (g),Prey,# Prey ,Prey Conditions (1-5),Notes
BOEM,45966,Sam P,Pinfish,PIN358,PIN358gc,WO1,45895,shrimp,0.7,crustacean,>20,3,
BOEM,45966,Sam P,Pinfish,PIN359,PIN359gc1,WO1,45895,detritus,<0.1,detritus,-,3,
BOEM,45966,Sam P,Pinfish,PIN359,PIN359gc2,WO1,45895,shrimp,0.4,crustacean,>20,3,
BOEM,45966,Sam P,Pinfish,PIN360,PIN360gc,WO1,45895,shrimp/mush,0.1,unidentifiable mush ,-,1,acid + no pic
BOEM,45966,Sam P,Pinfish,PIN361,PIN361gc,WO1,45895,shells,<0.1,mollusca ,2,4,tons of shells in intestines
BOEM,45966,Sam P,Pinfish,PIN362,PIN362gc1,WO1,45895,shrimp,3.7,crustacean,>50,3,needs to be seperated
BOEM,45966,Sam P,Pinfish,PIN362,PIN362gc2,WO1,45895,shrimp,0.1,veg_biomatter,-,,
BOEM,45966,Sam P,Pinfish,PIN362,PIN362gc3,WO1,45895,shrimp,0.1,biomatter,-,,
BOEM,45966,Sam P,Pinfish,PIN363,PIN363gc,WO1,45895,shrimp,0.6,crustacean,>20,3,
BOEM,45966,Sam P,Pinfish,PIN364,PIN364gc,WO1,45895,shrimp,0.2,biomatter,>20,2,
BOEM,45966,Gracie,Spot,SPO238,SPO238gc,EI1,45894,mush + sand ,0.1,detritus,-,1,
BOEM,45966,Gracie,Spot,SPO239,SPO239gc,EI1,45894,mush + sand ,<0.1,detritus ,-,1,
BOEM,45966,Gracie,Spot,SPO240,SPO240gc,EI1,45894,mush + sand ,0.3,detritus ,-,1,
BOEM,45968,Dalton,Spot,SPO245,SPO245gc,EI1,45894,mush,<0.1,unidentifiable mush ,-,1,
BOEM,45971,Sam P,Spot,SPO251,SPO251gc,WO2,45895,sand,<0.1,detritus,-,1,
BOEM,45971,Gracie ,Weakfish,WEF059,WEF059gc,EI1,45894,mysid ,0.2,biomatter,>100,4,crustacean based but could have other things in it so biomatter
BOEM,45971,Sam P ,Weakfish,WEF062,WEF062gc,EI1,45894,mysid ,0.2,biomatter,>50,3,crustacean based but could have other things in it so biomatter
BOEM,45971,Gracie ,Weakfish,WEF063,WEF063gc,EI1,45894,shrimp mush ,0.7,biomatter,-,1,crustacean based but could have other things in it so biomatter
BOEM,45971,Sam p ,Weakfish,WEF066,WEF066gc,EI1,45894,mysid ,<0.1,biomatter,>100,3,
BOEM,45971,Gracie ,Weakfish,WEF067,WEF067gc,EI1,45894,mysid + shrimp ,0.3,crustacean,<50,2,
BOEM,45971,Sam P ,Weakfish,WEF068,WEF068gc,EI1,45894,mysid + shrimp ,0.3,crustacean,>50,3,
BOEM,45971,Gracie ,Atlantic Bumper,ATB100,ATB100gc,EI2,45894,anchovy based mush ,0.6,biomatter,1,2,no photo?
BOEM,45971,Sam P ,Atlantic Bumper,ATB101,ATB101gc,EI2,45894,mush ,0.1,unidentifiable mush ,-,1,
BOEM,45971,Gracie ,Atlantic Bumper,ATB102,ATB102gc,EO1,45894,mush ,0.3,unidentifiable mush ,-,1,
BOEM,45971,Sam P ,Atlantic Bumper,ATB103,ATB103gc,EO1,45894,mysid,0.5,crustacean,>100,4,
BOEM,45971,Gracie ,Atlantic Bumper,ATB104,ATB104gc,EO1,45894,mush ,0.2,unidentifiable mush ,-,1,
BOEM,45971,Sam P,Atlantic Bumper,ATB105,ATB105gc,EO1,45894,mysid ,0.4,biomatter,>100,1,
