project,dissection_date,dissector,fish_species,fish_id,stomach_id,site,collection_date,prey_common_name,prey_wet_weight,prey_category,n_prey,prey_condition,notes,stomach_id_base,prey_wet_weight_g,prey_category_clean,has_weight,region,position,station
BOEM,45789,Cole,Thread Herring,THH078,THH078gc,EI3,45224,mush,<0.1,unidentifiable mush,-,1,,THH078gc,0.05,unidentifiable mush,TRUE,East,Inner,3
BOEM,45789,Dannette,Thread Herring,THH079,THH079gc,EI3,45224,mush,<0.1,unidentifiable mush,-,1,,THH079gc,0.05,unidentifiable mush,TRUE,East,Inner,3
BOEM,45789,Cole,Thread Herring,THH080,THH080gc,EI3,45224,mush,0.1,unidentifiable mush,-,1,,THH080gc,0.1,unidentifiable mush,TRUE,East,Inner,3
BOEM,45789,Dannette,Thread Herring,THH081,THH081gc,EI3,45224,mush,<0.1,unidentifiable mush,-,1,,THH081gc,0.05,unidentifiable mush,TRUE,East,Inner,3
BOEM,45789,Dannette,Thread Herring,THH082,THH082gc,EI3,45224,mush,<0.1,unidentifiable mush,-,1,,THH082gc,0.05,unidentifiable mush,TRUE,East,Inner,3
BOEM,45789,Cole,Thread Herring,THH083,THH083gc,EI3,45224,mush,<0.1,unidentifiable mush,-,1,,THH083gc,0.05,unidentifiable mush,TRUE,East,Inner,3
BOEM,45789,Dannette,Moonfish,MOF061,MOF061gc,EI3,45224,larvae,0.1,unidentifiable mush,-,3,,MOF061gc,0.1,unidentifiable mush,TRUE,East,Inner,3
BOEM,45789,Dannette,Moonfish,MOF063,MOF063gc,EI3,45224,mush,<0.1,unidentifiable mush,-,2,,MOF063gc,0.05,unidentifiable mush,TRUE,East,Inner,3
BOEM,45789,Cole,Moonfish,MOF064,MOF064gc,EI3,45224,shrimp larvae,0.2,crustacean,-,3,,MOF064gc,0.2,crustacean,TRUE,East,Inner,3
BOEM,45790,Dannette,Striped Anchovy,STA168,STA168gc,EI3,45224,mush,<0.1,unidentifiable mush,-,1,,STA168gc,0.05,unidentifiable mush,TRUE,East,Inner,3
BOEM,45790,Cole,Pinfish,PIN162,PIN162gc1,EI3,45224,biomatter,0.9,biomatter,-,4,,PIN162gc,0.9,biomatter,TRUE,East,Inner,3
BOEM,45790,Dannette,Striped Anchovy,STA170,STA170gc,EI3,45224,mush,<0.1,unidentifiable mush,-,1,,STA170gc,0.05,unidentifiable mush,TRUE,East,Inner,3
BOEM,45790,Cole,Pinfish,PIN162,PIN162gc2,EI3,45224,crustacean,<0.1,crustacean,-,2,,PIN162gc,0.05,crustacean,TRUE,East,Inner,3
BOEM,45790,Dannette,Striped Anchovy,STA174,STA174gc,EI3,45224,mush,<0.1,unidentifiable mush,-,1,,STA174gc,0.05,unidentifiable mush,TRUE,East,Inner,3
BOEM,45790,Cole,Striped Anchovy,STA175,STA175gc,EI3,45224,mush,<0.1,unidentifiable mush,-,1,,STA175gc,0.05,unidentifiable mush,TRUE,East,Inner,3
BOEM,45790,Dannette,Atlantic Bumper,ATB032,ATB032gc,EI2,45224,mush,0.1,unidentifiable mush,-,1,,ATB032gc,0.1,unidentifiable mush,TRUE,East,Inner,2
BOEM,45790,Cole,Atlantic Bumper,ATB033,ATB033gc,EI2,45224,larvae?,0.2,biomatter,-,2,,ATB033gc,0.2,biomatter,TRUE,East,Inner,2
BOEM,45790,Dannette,Atlantic Bumper,ATB034,ATB034gc,EI2,45224,mush,0.1,unidentifiable mush,-,1,,ATB034gc,0.1,unidentifiable mush,TRUE,East,Inner,2
BOEM,45790,Cole,Atlantic Bumper,ATB035,ATB035gc,EI2,45224,mush,0.2,unidentifiable mush,-,1,,ATB035gc,0.2,unidentifiable mush,TRUE,East,Inner,2
BOEM,45790,Dannette,Atlantic Bumper,ATB036,ATB036gc,EI2,45224,mush,<0.1,unidentifiable mush,-,1,,ATB036gc,0.05,unidentifiable mush,TRUE,East,Inner,2
BOEM,45791,Cole,Atlantic Bumper,ATB037,ATB037gc,EI2,45224,mush,0.1,unidentifiable mush,-,1,,ATB037gc,0.1,unidentifiable mush,TRUE,East,Inner,2
